rank,name,score,mumbers
724,龙珠改,7.6,527
725,哆啦A梦：伴我同行,7.5,688
726,机动战士Z高达II 恋人们,7.6,246
727,忍者乱太郎 1期,7.6,397
728,监狱兔 第5季,7.6,428
729,哆啦A梦：新大雄与铁人兵团,7.6,209
730,精灵宝可梦 起源,7.5,586
731,老人Z,7.6,327
732,猫屎一号,7.5,815
733,钢之炼金术师 香巴拉的征服者,7.5,1587
734,僵尸新娘,7.5,721
735,同级生,7.6,345
736,空之境界 终章 空之境界,7.5,2222
737,夏目友人帐 陆,7.5,485
738,海贼王 强者世界,7.5,625
739,福星小子,7.6,126
740,监狱兔 第三季,7.5,444
741,我的邻居山田君,7.6,315
742,美少女战士Sailor Stars,7.6,218
743,空之境界 Remix,7.5,344
744,宇宙战舰大和号,7.7,71
745,Angel Beats!,7.5,6804
746,白熊咖啡馆,7.5,2109
747,恶童,7.5,419
748,跟班×服务,7.5,1307
749,精灵宝可梦 太阳&amp;月亮,7.6,149
750,明日的娜嘉,7.6,114
751,人鱼之森,7.5,319
752,妄想学生会＊ OVA,7.5,682
753,海绵宝宝第一季,7.5,405
754,怪鸭历险记,7.6,149
755,gdgd妖精s,7.6,159
756,头文字D Fourth Stage,7.5,390
757,超译百人一首 歌之恋,7.5,852
758,钢之炼金术师 PREMIUM COLLECTION,7.5,385
759,颠倒的帕特玛,7.5,986
760,Little Busters! ～Refrain～,7.5,1260
761,第七届东方M-1漫才大赛,7.6,118
762,灌篮高手 湘北最大的危机！燃烧吧樱木花道,7.6,196
763,随风舞月影兰,7.6,124
764,奇诺之旅 活着的目标 -life goes on.-,7.5,331
765,驯龙高手,7.5,683
766,阿拉蕾,7.5,450
767,小魔女DoReMi,7.6,180
768,咕噜咕噜魔法阵 心跳传说,7.6,138
769,最终兵器彼女,7.5,1036
770,猫的报恩,7.5,1507
771,世界第一初恋 OAD,7.5,703
772,心灵链环,7.5,2441
773,摇曳百合 3☆High!,7.5,1122
774,翡翠森林狼与羊,7.5,241
775,悲惨世界 少女柯塞特,7.6,110
776,噬魂师,7.5,2009
777,全金属狂潮 TSR OVA 战队长悠闲的一天,7.5,1195
778,哈哈镜花缘,7.6,92
779,银河天使Z,7.6,80
780,玩偶游戏,7.6,123
781,女子落语,7.5,1862
782,奇诺之旅 塔之国 -Free Lance-,7.5,342
783,恶魔阿萨谢尔在召唤你 路西法篇,7.5,571
784,宇宙星路,7.6,152
785,濑户的花嫁,7.5,1905
786,摸索吧！部活剧 第三期,7.5,287
787,我的英雄学院,7.5,1391
788,起风了,7.5,1105
789,信长协奏曲,7.5,592
790,机动战士高达 剧场版Ⅰ,7.5,181
791,森林好小子,7.6,143
792,素描本,7.5,282
793,凯尔斯的秘密,7.6,94
794,棒球大联盟 第一季,7.6,115
795,棒球大联盟 第五季,7.6,80
796,云之彼端，约定的地方,7.5,2337
797,剧场版 快要坏掉的八音盒,7.5,1092
798,冬之蝉,7.5,202
799,STAR DRIVER 闪亮的拓人,7.5,1690
800,萌菌物语,7.5,993
801,飙速宅男,7.5,871
802,夏目友人帐 伍,7.5,783
803,魔力女管家,7.5,591
804,天才麻将少女 全国篇,7.5,1635
805,哆啦A梦07剧场版：大雄的新魔界大冒险之7个魔法师,7.5,185
806,大魔法峠,7.5,393
807,纸人,7.5,240
808,为美好的世界献上祝福！ 第二季,7.5,1878
809,光之美少女全明星DX 大家是朋友☆奇迹的全员大集合！,7.6,120
810,苍穹之法芙娜 HEAVEN AND EARTH,7.5,433
811,大雄与铁人兵团,7.6,149
812,天空战记,7.5,202
813,KERORO军曹,7.5,762
814,快要坏掉的八音盒,7.5,1346
815,侦探歌剧 少女福尔摩斯 第二幕,7.5,562
816,TIGER &amp; BUNNY -The Rising-,7.5,238
817,美妙天堂 第二期,7.7,52
818,忍者杀手 特别编辑版,7.5,266
819,黄金宝贝,7.5,181
820,魔神坛斗士,7.5,377
821,暗杀教室 第二季,7.5,1276
822,我们这一家,7.7,66
823,世界第一初恋,7.5,1925
824,舒克和贝塔,7.5,844
825,ReLIFE,7.5,1488
826,再见绝望先生 Blu-ray BOX化纪念话,7.6,93
827,打，打个大西瓜,7.5,465
828,河童之夏,7.5,475
829,真魔神 突击！Z篇,7.6,105
830,尸鬼,7.5,2388
831,BLAME!,7.5,466
832,大剑,7.5,1723
833,超元气三姐妹,7.5,1239
834,安倍桥魔法☆商店街,7.5,335
835,南方公园 第19季,7.5,111
836,Concrete Revolutio 超人幻想,7.5,1255
837,不可思议的教室 OVA,7.7,55
838,剧场版 希德尼娅的骑士,7.5,364
839,火鸟,7.6,102
840,舞动青春,7.5,285
841,Concrete Revolutio 超人幻想 THE LAST SONG,7.5,862
842,我的青春恋爱物语果然有问题 续,7.4,2935
843,奇诺之旅 疾病之国 -For You-,7.5,518
844,妖精的尾巴,7.5,1995
845,西游记,7.5,479
846,咕噜咕噜魔法阵,7.5,176
847,出包王女Darkness OAD,7.5,667
848,调酒师,7.5,357
849,装甲骑兵 最后的红肩队,7.7,55
850,我在伊朗长大,7.6,110
851,Daicon4 开幕动画,7.6,88
852,蝙蝠侠 黑暗骑士归来（上）,7.6,83
853,美妙天堂,7.6,104
854,ID-0,7.5,622
855,Smile 光之美少女！,7.5,283
856,东方PVD,7.5,125
857,高智能方程式,7.5,445
858,第八届东方M-1漫才大赛,7.6,66
859,少女与战车 这次是真正的安齐奥战！,7.5,854
860,Little Busters! EX,7.5,659
861,幻影死神,7.6,82
862,英国恋物语艾玛,7.5,145
863,剧场版 银河机攻队Majestic Prince 觉醒的基因,7.6,67
864,魔力女管家～更美丽的事物～,7.5,386
865,银魂.,7.5,423
866,枪神 Badlands Rumble,7.5,273
867,翼·年代记 春雷记,7.5,489
868,鬼妈妈,7.6,76
869,偶像活动 第一年,7.5,177
870,魔神英雄传2,7.5,567
871,监狱学园,7.4,2151
872,女子落 OAD,7.5,519
873,海贼王 强者世界 前传,7.5,440
874,悲伤的贝拉多娜,7.5,95
875,新机动战记高达W 无尽的华尔兹,7.5,211
876,红白黑黄,7.4,1654
877,幻想万华镜 泡沫、哀伤的桃源,7.5,206
878,Fresh 光之美少女！,7.5,147
879,星界的断章 诞生,7.6,69
880,两人是光之美少女,7.5,202
881,剧场版 精灵宝可梦：梦幻的精灵宝可梦  洛奇亚爆诞,7.5,374
882,恐怖宠物店,7.5,628
883,南家三姐妹 久候多时,7.4,716
884,大雄的日本诞生,7.5,124
885,游戏王 The Dark Side of Dimensions,7.5,196
886,为美好的世界献上祝福！,7.4,2774
887,第五届东方M-1漫才大赛,7.5,114
888,意外的幸运签,7.4,951
889,未来日记,7.4,5605
890,超时空要塞Frontier,7.4,2302
891,玉响～more aggressive～,7.4,499
892,光之美少女 Max Heart 雪空的朋友,7.6,67
893,精灵宝可梦 超世代,7.5,369
894,南家三姐妹 饭后甜点,7.4,790
895,机动警察 十三号废弃物,7.5,178
896,来自风平浪静的明天,7.4,2386
897,魔法少女奈叶,7.4,1583
898,装甲骑兵 佩鲁森档案,7.6,68
899,棒球大联盟 第二季,7.5,90
900,伊里野的天空、UFO的夏天,7.4,828
901,库拉乌 幻之记忆,7.5,204
902,我的女神 OVA,7.5,173
903,头文字D Second Stage,7.4,479
904,最游记RELOAD 埋葬篇,7.5,94
905,怪医黑杰克,7.5,116
906,雇工人生,7.5,133
907,鲁邦三世 意大利游戏,7.5,75
908,机动战士高达 雷霆宙域 DECEMBER SKY,7.5,94
909,凹凸世界,7.6,52
910,超能勇士,7.5,218
911,旋风管家,7.4,2497
912,京骚戏画,7.4,1528
913,只有神知道的世界 女神篇,7.4,2002
914,棒球大联盟 第六季,7.5,80
915,Yes! 光之美少女5 镜之国的奇迹大冒险!,7.5,86
916,哆啦A梦 大雄的猫狗时空传,7.5,159
917,吸血姬美夕,7.5,171
918,鸦 -KARAS-,7.4,785
919,gdgd妖精s 第2季,7.5,125
920,DARKER THAN BLACK -流星的双子-,7.4,2678
921,麦兜故事,7.5,171
922,圣哥传 OAD,7.4,431
947,巴哈姆特之怒 VIRGIN SOUL,7.4,277
948,战勇。第2期,7.4,1021
949,火球 魅力之章,7.4,372
950,魔法少女奈叶StrikerS,7.4,1154
951,龙与虎 OVA 便当的精髓,7.4,1460
952,濑户的花嫁OVA,7.4,619
953,烤焦面包,7.5,68
954,火球,7.4,357
955,宝石宠物 Sunshine,7.6,56
956,大雄与梦幻三剑士,7.5,116
957,钻石王牌,7.4,497
958,苍蓝钢铁的琶音 Cadenza,7.4,503
959,黑猫警长,7.4,824
960,人间失格 剧场版,7.5,123
961,交响情人梦 OAD,7.4,265
962,精灵宝可梦：世代,7.5,133
963,怪盗Joker2,7.5,59
964,和殿下一起～眼罩之野心～,7.4,365
965,大雄的魔界大冒险,7.4,132
966,邋遢大王奇遇记,7.4,577
967,南家三姐妹 夏日假期,7.4,468
968,游戏王,7.4,582
969,剧场版∀高达II 月光蝶,7.5,126
970,Re：从零开始的异世界生活,7.4,3887
971,通灵王,7.4,872
972,迷你偶像 2期,7.4,225
973,UN-GO episode: 0 因果论,7.4,704
974,暴力宇宙海贼,7.4,996
975,玉响～hitotose～,7.4,1095
976,AIURA,7.4,1094
977,正义联盟：闪点悖论,7.5,53
978,第二届东方M-1漫才大赛,7.5,58
979,你所期望的永远,7.4,745
980,终极蜘蛛侠 第一季,7.5,78
981,棒球大联盟 第四季,7.5,78
982,哆啦A梦：大雄的恐龙 2006,7.4,296
983,伊克西翁传说DT,7.4,1337
984,第一神拳 Rising,7.5,85
985,钢铁神兵B'T-X,7.4,442
986,鬼灯的冷彻,7.4,1637
987,回忆中的玛妮,7.4,294
988,星之梦,7.4,1414
989,秦时明月之诸子百家,7.4,492
990,美少女战士SuperS,7.4,152
991,某个旅人的日记,7.4,148
992,Yes! 光之美少女5 GO GO! 糖果王国的快乐生日,7.5,73
993,棒球大联盟 第三季,7.5,87
994,青之花,7.4,635
923,校园迷糊大王 三学期,7.4,623
924,灰与幻想的格林姆迦尔,7.4,1563
925,银河天使,7.5,130
926,精灵宝可梦XY,7.4,402
927,迷糊女战士,7.5,80
928,魍魉之匣,7.4,930
929,王者天下 第二季,7.5,99
930,血界战线,7.4,2216
931,网球优等生 第二季,7.5,111
932,无头骑士异闻录×2 承,7.4,2078
933,钢之炼金术师 四格剧场,7.5,220
934,第一届东方M-1漫才大赛,7.6,58
935,HELLO 黄金拼图,7.4,856
936,东京糖衣巧克力,7.4,594
937,东京地震8.0,7.4,1515
938,玉响,7.4,853
939,大雄的创世日记,7.5,118
940,出包王女Darkness,7.4,1547
941,美少女战士S,7.4,208
942,邻座的怪同学,7.4,3575
943,舞-HiME,7.4,1256
944,美少女战士,7.4,1003
945,平衡,7.5,120
946,亚人,7.4,1835
995,东方PVD2,7.4,114
996,BLOOD 最后的吸血鬼,7.4,486
997,钓球,7.4,1440
998,机动战士高达00 第二季,7.4,2086
999,凸变英雄,7.4,201
1000,守望先锋：最后的堡垒,7.5,83
1001,兽之奏者艾琳,7.4,143
1002,死亡代理人,7.4,547
1003,吸血姬美夕 OVA,7.4,117
1004,英国恋物语艾玛 第二幕,7.4,99
1005,花物语,7.4,1487
1006,超能陆战队,7.4,732
1007,请问您今天要来点兔子吗？,7.4,2204
1008,我要上太空,7.5,55
1009,攻壳机动队 塔奇克马的日常,7.4,393
1010,新机动战记高达W,7.4,709
1011,黄金拼图,7.4,1443
1012,只有神知道的世界II,7.4,2859
1013,鲁邦三世 血烟的石川五右卫门,7.4,106
1014,旋风管家 第二季,7.4,1756
1015,爷爷的煤油灯,7.4,267
1016,樱桃小丸子,7.4,348
1017,sola,7.4,1844
1018,幻想嘉年华 Special Season,7.4,763
1019,乱马1/2 热斗篇,7.4,134
1020,凭物语,7.4,1529
1021,海贼王 绽放在寒冬的奇迹樱花,7.4,477
1022,逮捕令 第二季,7.4,252
1023,宵星传说～首鸣～,7.4,394
1024,六翼天使之声,7.4,94
1025,怪物家族,7.4,85
1026,境界线上的地平线,7.4,2374
1027,地狱少女 二笼,7.4,1331
1028,女神异闻录4,7.4,1646
1030,纯情罗曼史,7.4,1018
1031,恋爱研究所,7.4,1624
1032,超时空要塞 Dynamite 7,7.4,160
1033,红领巾侠,7.4,464
1034,麦兜菠萝油王子,7.5,52
1035,犬夜叉 穿越时空的思念,7.4,483
1036,东之伊甸 剧场版I The King of Eden,7.3,1470
1037,Fate/stay night [Unlimited Blade Works] 第二季,7.4,3665
1038,废弃公主,7.4,571
1039,下一站巨星,7.4,683
1040,夏之岚～春夏冬中～,7.4,429
1041,女神异闻录3 剧场版 第四章 重生之冬,7.4,96
1042,美少女战士R,7.4,221
1043,科学小飞侠Crowds,7.4,965
1044,守护者联盟,7.4,153
1045,十二生肖守护神,7.4,418
1046,食戟之灵,7.4,2473
1047,间之楔,7.4,295
1048,Candy☆Boy,7.4,146
1049,美少女战士R 花朵的约定,7.5,60
1050,圣斗士星矢 THE LOST CANVAS 冥王神话 第2章,7.4,322
1051,笨蛋，测验，召唤兽,7.4,4088
1052,狼雨 OVA,7.4,128
1053,银河天使A,7.5,64
1054,樱花庄的宠物女孩,7.3,3842
1055,浪客剑心 星霜篇,7.4,368
1056,雨之城,7.4,293
1057,海贼王 FILM Z,7.4,429
1058,夜勤病栋,7.4,562
1059,黑暗圣经,7.4,501
1060,玩具总动员,7.4,692
1061,机器人嘉年华,7.4,119
1062,超扯童话血多,7.4,72
1063,兰戈,7.4,113
1064,数码暴龙04无限地带,7.3,584
1065,天使特警,7.4,160
1066,笨笨森林日志,7.4,78
1067,大雄与云之王国,7.4,111
1068,火影忍者 剧场版 博人传,7.3,703
1069,Go! Princess 光之美少女：Go!Go!!豪华三合一!!!,7.5,54
1070,TARI TARI,7.3,2801
1071,结城友奈是勇者 -鹫尾须美之章- 第3章 约定,7.4,133
1072,逆转监督,7.4,386
1073,鬼平,7.4,277
1074,机动战士高达SEED,7.3,2113
1075,侵略！乌贼娘,7.3,2652
1076,双恋 Alternative,7.3,440
1077,神偷卡门,7.4,72
1078,元气少女缘结神 过去篇,7.4,160
1080,横滨购物纪行,7.4,156
1081,死或生VS最终幻想,7.4,107
1082,到另一个你的身边去,7.4,260
1083,传说巨神伊迪安 接触篇,7.4,68
1084,Front Innocent,7.3,400
1085,侦探歌剧 少女福尔摩斯 ～逆袭的少女福尔摩斯～,7.4,85
1086,家庭教师HITMAN REBORN!,7.3,1445
1087,天地无用! 魉皇鬼,7.4,60
1088,圣哥传,7.3,511
1089,圣斗士星矢 THE LOST CANVAS 冥王神话,7.3,464
1090,读或死 TV,7.3,486
1091,向山进发 第二季,7.3,495
1092,名侦探柯南 迷宫的十字路口,7.3,1585
1093,怪兽电力公司,7.3,450
1094,头文字D Third Stage,7.4,342
1095,玛利亚狂热,7.3,2083
1096,花与爱丽丝杀人事件,7.3,446
1097,咕噜咕噜魔法阵,7.4,69
1098,小林家的龙女仆,7.3,2761
1099,Smile 光之美少女！绘本里的世界都不协调！,7.4,117
1100,剧场版 精灵宝可梦超世代：梦幻与波导的勇者 路卡利欧,7.3,339
1101,飙速宅男 GRANDE ROAD,7.3,426
1102,幻灵镇魂曲,7.3,1447
1103,暴力宇宙海贼 剧场版 亚空的深渊,7.4,225
1104,食戟之灵 贰之皿,7.3,1595
1105,幻想嘉年华 EX Season,7.3,621
1106,大雄与白金迷宫,7.4,105
1107,忍者杀手,7.4,297
1108,打工吧！魔王大人,7.3,4002
1109,茄子 带着旅行箱的候鸟,7.4,112
1110,超时空要塞7 银河在呼唤我,7.4,147
1111,枪心剑刃,7.3,246
1112,海贼王 梅利特别篇 另一位伙伴的故事,7.4,78
1113,铁马少年,7.4,121
1114,卑鄙的我,7.3,677
1115,FLAG,7.3,142
1116,人生Best Ten,7.3,349
1117,鬼灯的冷彻 OAD,7.3,260
1118,Hybrid Child,7.3,328
1119,蔷薇少女,7.3,2104
1120,未来都市NO.6,7.3,3025
1121,长发公主,7.3,322
1122,我的青春恋爱物语果然有问题 续 OVA,7.3,763
1123,机动战士高达SEED HD重制版,7.3,769
1124,巴哈姆特之怒 GENESIS,7.3,1425
1125,人鱼之森,7.4,54
1126,次元舰队,7.4,74
1127,剧场版 PSYCHO-PASS 心理测量者,7.3,1025
1128,穷神,7.3,2550
1129,这个美术部有问题！,7.3,1844
1130,头文字D Fifth Stage,7.3,373
1131,月神,7.4,88
1132,驱魔少年,7.3,1215
1133,GA 艺术科美术设计班 OVA,7.3,176
1134,剧场版 精灵宝可梦超世代：七夜的许愿星 基拉祈,7.3,325
1135,蔷薇少女 梦之终结,7.3,1530
1136,和殿下一起 1分钟剧场,7.3,306
1137,战姬绝唱SYMPHOGEAR AXZ,7.4,72
1138,偶像大师 灰姑娘女孩 第2期,7.3,744
1139,旋转少女,7.3,897
1140,我的女神 剧场版,7.3,233
1141,现视研 二代目 OAD,7.3,263
1142,骷髅13,7.4,102
1143,兽兵卫忍风帖,7.3,124
1144,暖心日记,7.3,141
1145,JOJO的奇妙冒险,7.3,246
1146,青之驱魔师,7.3,4236
1147,曙光Q,7.4,83
1148,地狱少女,7.3,2045
1149,吹响！悠风号～欢迎来到北宇治高中吹奏乐部～,7.3,470
1150,中二病也要谈恋爱！,7.3,6163
1151,亲吻那片花瓣 「恋人的羁绊」,7.3,754
1152,翼神传说 多元变奏曲,7.3,246
1153,摇曳百合 夏日时光！,7.3,782
1154,错误404：你所寻找的动画不存在,7.3,248
1155,今天的五年二班 OVA,7.3,603
1156,葫芦兄弟第二部,7.3,375
1157,暴力云与送子鹳,7.3,146
1158,银河天使X,7.4,59
1159,百变之星 崭新之翼 EXTRA STAGE 不笑的公主,7.3,156
1160,天书奇谭,7.3,201
1161,光之美少女全明星DX2 希望之光☆守护彩虹宝石!,7.3,120
1162,军火女王,7.3,2386
1163,灰色的乐园,7.3,934
1164,滑头鬼之孙～千年魔京～,7.3,1976
1165,战勇。,7.3,1486
1166,天才麻将少女 阿知贺篇,7.3,1923
1167,罗德斯岛战记-英雄骑士传-,7.3,140
1168,声之形,7.3,1227
1169,复苏的天空 -救援之翼-,7.4,74
1170,铁腕巴迪 DECODE 第二季,7.3,192
1171,宇宙战舰大和号2202 爱的战士们 第一章,7.4,52
1172,Da!Da!Da!,7.4,73
1173,ACCA13区监察课,7.3,875
1174,橙路,7.3,105
1175,精灵宝可梦 钻石&amp;珍珠,7.3,256
1176,电影少女,7.3,139
1177,乐高大电影,7.3,89
1178,幻想万华镜 月于丛云花于风,7.3,180
1179,机动警察迷你版,7.4,65
1180,路人女主的养成方法,7.3,3605
1181,大雄的南海大冒险,7.3,89
1182,图书馆战争 革命之翼,7.3,418
1183,剧场版∀高达I 地球光,7.3,137
1184,魔女猎人罗宾,7.3,203
1185,新撰组异闻录-铁,7.3,552
1186,校园乌托邦 学美向前冲！,7.3,341
1187,蒸汽男孩,7.3,522
1188,幻想万华镜 花之异变之章,7.3,226
1190,海洋奇缘,7.3,81
1191,强袭魔女 剧场版,7.3,575
1192,妖怪手表,7.3,114
1193,犬夜叉 天下霸道之剑,7.3,474
1194,聪明的一休,7.3,650
1195,和我一起来画吧,7.3,124
1196,甜甜私房猫 OAD,7.4,54
1197,笨蛋，测验，召唤兽 ～祭～,7.3,1340
1198,返乡战士,7.3,183
1199,超时空要塞 Flash Back 2012,7.3,149
1200,分身战士,7.3,170
1201,.hack//Quantum,7.3,310
1202,H2 好逑双物语,7.3,72
1203,沉默的未知,7.3,118
1204,野良神 ARAGOTO,7.3,1797
1205,只有神知道的世界,7.3,3580
1206,豹头王传说,7.3,241
1207,GA 艺术科美术设计班,7.3,537
1208,蔷薇少女 序曲,7.3,855
1209,足球小将,7.3,647
1210,灼眼的夏娜,7.3,3554
1211,绝爱,7.3,192
1212,内衣办公室,7.3,241
1213,星舰驾驶员,7.3,159
